['/0 Subnet', 'Networking']
['/16 Subnet', 'Networking']
['/24 Subnet', 'Networking']
['/32 Subnet', 'Networking']
['/8 Subnet', 'Networking']
['10.0.0.0/8 Private IP Range', 'Networking']
['172.16.0.0/12 Private IP Range', 'Networking']
['192.168.0.0/16 Private IP Range', 'Networking']
['AWS Direct Connect Location', 'Networking']
['AWS Network Firewall', 'Networking']
['AWS PrivateLink', 'Networking']
['AWS VPN CloudHub', 'Networking']
['Auto-assign Public IPv4', 'Networking']
['Base IP', 'Networking']
['Bastion Host', 'Networking']
['CIDR (Classless Inter-Domain Routing)', 'Networking']
['Customer Gateway', 'Networking']
['Dedicated Private Connection', 'Networking']
['Default VPC', 'Networking']
['Destination Address', 'Networking']
['Destination Port', 'Networking']
['Direct Connect (DX)', 'Networking']
['Direct Connect Gateway', 'Networking']
['Dynamic Routing', 'Networking']
['EC2 Instance', 'Networking']
['Egress Only Internet Gateway', 'Networking']
['Ephemeral Ports', 'Networking']
['Equal-Cost Multi-Path Routing (ECMP)', 'Networking']
['Flow Logs', 'Networking']
['Gateway VPC Endpoint', 'Networking']
['Hub-and-Spoke Model', 'Networking']
['IANA (Internet Assigned Numbers Authority)', 'Networking']
['ICMP (Internet Control Message Protocol)', 'Networking']
['IP Address', 'Networking']
['IP Multicast', 'Networking']
['IPv4', 'Networking']
['IPv4 CIDR Block', 'Networking']
['IPv6', 'Networking']
['IPv6 CIDR Block', 'Networking']
['Inbound Rules', 'Networking']
['Internet Gateway', 'Networking']
['NAT Gateway', 'Networking']
['NAT Instance', 'Networking']
['NAT-T (Network Address Translation-Traversal)', 'Networking']
['Network ACL (Access Control List)', 'Networking']
['Network Topologies', 'Networking']
['Outbound Rules', 'Networking']
['Private IP Address', 'Networking']
['Private IPv4 Address', 'Networking']
['Public IP Address', 'Networking']
['Public IPv4 Address', 'Networking']
['Public Internet-Routable IP Address', 'Networking']
['Resource Access Manager', 'Networking']
['Route Propagation', 'Networking']
['Route Table', 'Networking']
['Route Tables', 'Networking']
['Security Group', 'Networking']
['Site-to-Site VPN', 'Networking']
['Source Address', 'Networking']
['Source Port', 'Networking']
['Stateful', 'Networking']
['Stateless', 'Networking']
['Subnet', 'Networking']
['Subnet Mask', 'Networking']
['Transit Gateway', 'Networking']
['Transitive Peering Connection', 'Networking']
['VPC Endpoints', 'Networking']
['VPC Flow Logs', 'Networking']
['VPC Peering', 'Networking']
['VPC Traffic Mirroring', 'Networking']
['VPN Connections', 'Networking']
['VPN Gateway (VGW)', 'Networking']
['Virtual Private Gateway (VGW)', 'Networking']
['A Record', 'DNS']
['AAAA Record', 'DNS']
['Alias Record', 'DNS']
['Amazon Route 53', 'DNS']
['Authoritative DNS', 'DNS']
['CNAME Record', 'DNS']
['DNS Query', 'DNS']
['DNS Records', 'DNS']
['Domain Registrar', 'DNS']
['Failover Routing Policy', 'DNS']
['Fully Qualified Domain Name (FQDN)', 'DNS']
['Geolocation Routing Policy', 'DNS']
['Geoproximity Routing Policy', 'DNS']
['Hosted Zone', 'DNS']
['IP-based Routing Policy', 'DNS']
['Latency Based Routing Policy', 'DNS']
['Local DNS Server', 'DNS']
['Multi-Value Answer Routing Policy', 'DNS']
['NS Record', 'DNS']
['Name Servers', 'DNS']
['Private Hosted Zone', 'DNS']
['Public Hosted Zone', 'DNS']
['Root DNS Server', 'DNS']
['Routing Policy', 'DNS']
['Second Level Domain', 'DNS']
['Simple Routing Policy', 'DNS']
['TTL (Time to Live)', 'DNS']
['Top Level Domain (TLD)', 'DNS']
['Weighted Routing Policy', 'DNS']
['Zone Apex', 'DNS']
['Zone File', 'DNS']
['ACLs (Access Control Lists)', 'S3 Advanced']
['Byte Range Fetches', 'S3 Advanced']
['Edge Location', 'S3 Advanced']
['Event Bridge', 'S3 Advanced']
['Event Notification', 'S3 Advanced']
['Events', 'S3 Advanced']
['Expiration Actions', 'S3 Advanced']
['Glacier Select', 'S3 Advanced']
['Lambda Function', 'S3 Advanced']
['Lifecycle Rules', 'S3 Advanced']
['Object Metadata', 'S3 Advanced']
['Object Tags', 'S3 Advanced']
['Prefix', 'S3 Advanced']
['Prefix Rules', 'S3 Advanced']
['Resource Access Policy', 'S3 Advanced']
['S3 Analytics', 'S3 Advanced']
['S3 Baseline Performance', 'S3 Advanced']
['S3 Batch Operation', 'S3 Advanced']
['S3 Inventory', 'S3 Advanced']
['S3 Select', 'S3 Advanced']
['S3 Storage Lens', 'S3 Advanced']
['S3 Transfer Acceleration', 'S3 Advanced']
['SNS Topic', 'S3 Advanced']
['SQS Queue', 'S3 Advanced']
['Server-Side Filtering', 'S3 Advanced']
['Transition Actions', 'S3 Advanced']
['Usage and Activity Metrics', 'S3 Advanced']
['ACM', 'High Availability and Scalability']
['AWS Certificate Manager (ACM)', 'High Availability and Scalability']
['Application Load Balancer (ALB)', 'High Availability and Scalability']
['Application-based Cookie', 'High Availability and Scalability']
['Availability Zones (AZ)', 'High Availability and Scalability']
['Certificate Authorities', 'High Availability and Scalability']
['Classic Load Balancer (CLB)', 'High Availability and Scalability']
['CloudWatch Alarm', 'High Availability and Scalability']
['Connection Draining', 'High Availability and Scalability']
['Cross Zone Load Balancing', 'High Availability and Scalability']
['Data Center', 'High Availability and Scalability']
['Deep Packet Inspection', 'High Availability and Scalability']
['Deregistration Delay', 'High Availability and Scalability']
['Desired Capacity', 'High Availability and Scalability']
['Duration-based Cookie', 'High Availability and Scalability']
['EC2 Instance Types', 'High Availability and Scalability']
['Elasticity', 'High Availability and Scalability']
['GENEVE Protocol', 'High Availability and Scalability']
['Gateway Load Balancer (GWLB)', 'High Availability and Scalability']
['HTTP/2', 'High Availability and Scalability']
['HTTPS Listener', 'High Availability and Scalability']
['Health Checks', 'High Availability and Scalability']
['High Availability', 'High Availability and Scalability']
['Horizontal Scalability', 'High Availability and Scalability']
['Host-based Routing', 'High Availability and Scalability']
['In-Flight Encryption', 'High Availability and Scalability']
['Inter AZ Data Charges', 'High Availability and Scalability']
['Intrusion Detection and Prevention System (IDPS)', 'High Availability and Scalability']
['Lambda Functions', 'High Availability and Scalability']
['Layer 3 Load Balancing', 'High Availability and Scalability']
['Layer 4 Load Balancer', 'High Availability and Scalability']
['Legacy Clients', 'High Availability and Scalability']
['Load Balancer Generated Cookie', 'High Availability and Scalability']
['Load Balancers', 'High Availability and Scalability']
['Maximum Capacity', 'High Availability and Scalability']
['Minimum Capacity', 'High Availability and Scalability']
['Network Load Balancer (NLB)', 'High Availability and Scalability']
['Path-based Routing', 'High Availability and Scalability']
['Port Mapping', 'High Availability and Scalability']
['Private IP Addresses', 'High Availability and Scalability']
['Public SSL Certificates', 'High Availability and Scalability']
['Query String-based Routing', 'High Availability and Scalability']
['RDS Multi AZ', 'High Availability and Scalability']
['SSL', 'High Availability and Scalability']
['SSL Certificate', 'High Availability and Scalability']
['Scale In', 'High Availability and Scalability']
['Scale Out', 'High Availability and Scalability']
['Scaling Policies', 'High Availability and Scalability']
['Server Name Indication (SNI)', 'High Availability and Scalability']
['Session Affinity', 'High Availability and Scalability']
['Static IP', 'High Availability and Scalability']
['Sticky Sessions', 'High Availability and Scalability']
['TCP Traffic', 'High Availability and Scalability']
['TLS', 'High Availability and Scalability']
['TLS Certificate', 'High Availability and Scalability']
['Target Group', 'High Availability and Scalability']
['Target Groups', 'High Availability and Scalability']
['Third-party Network Appliances', 'High Availability and Scalability']
['UDP Traffic', 'High Availability and Scalability']
['Vertical Scalability', 'High Availability and Scalability']
['WebSockets', 'High Availability and Scalability']
['X-Forwarded-For', 'High Availability and Scalability']
['X-Forwarded-Port', 'High Availability and Scalability']
['X-Forwarded-Proto', 'High Availability and Scalability']
['X.509 Certificate', 'High Availability and Scalability']
['AD Connector', 'Access Management']
['AWS Control Tower', 'Access Management']
['AWS Control Tower Guard Rails', 'Access Management']
['AWS Directory Services', 'Access Management']
['AWS IAM Identity Center', 'Access Management']
['AWS Managed Microsoft AD', 'Access Management']
['AWS Organizations SCP', 'Access Management']
['AWS S3 Full Access', 'Access Management']
['Active Directory', 'Access Management']
['AdministratorAccess', 'Access Management']
['Attribute-Based Access Control', 'Access Management']
['Built-in Identity Store', 'Access Management']
['Custom SAML 2.0 Enabled Applications', 'Access Management']
['Detective Guardrail', 'Access Management']
['Domain Controller', 'Access Management']
['Forest', 'Access Management']
['IAM Conditions', 'Access Management']
['IAM Permission Boundaries', 'Access Management']
['IAM Policy', 'Access Management']
['IAM User', 'Access Management']
['Microsoft Active Directory', 'Access Management']
['Multi-Account Permission', 'Access Management']
['Permission Sets', 'Access Management']
['Preventive Guardrail', 'Access Management']
['SAML 2.0 Integration', 'Access Management']
['Simple AD', 'Access Management']
['Single Sign-On (SSO)', 'Access Management']
['Third-Party Identity Provider', 'Access Management']
['Trust Connection', 'Access Management']
['Two-Way Trust Relationship', 'Access Management']
['AES-256', 'EC2 Instance Storage']
['AWS Global Infrastructure', 'EC2 Instance Storage']
['AWS Marketplace AMI', 'EC2 Instance Storage']
['Amazon Linux 2 AMI', 'EC2 Instance Storage']
['Amazon Machine Image (AMI)', 'EC2 Instance Storage']
['Archive Storage Tier', 'EC2 Instance Storage']
['Archive Tier', 'EC2 Instance Storage']
['Buffer', 'EC2 Instance Storage']
['Bursting Throughput Mode', 'EC2 Instance Storage']
['Cache', 'EC2 Instance Storage']
['Copy Snapshot', 'EC2 Instance Storage']
['Custom AMI', 'EC2 Instance Storage']
['Data at Rest Encryption', 'EC2 Instance Storage']
['Data in Flight Encryption', 'EC2 Instance Storage']
['Delete on Termination', 'EC2 Instance Storage']
['EBS Multi-Attach', 'EC2 Instance Storage']
['EBS Snapshot Archive', 'EC2 Instance Storage']
['EBS Snapshots', 'EC2 Instance Storage']
['EBS Volume Encryption', 'EC2 Instance Storage']
['EC2 Instance Store', 'EC2 Instance Storage']
['EC2 Nitro', 'EC2 Instance Storage']
['EFS Infrequent Access (IA)', 'EC2 Instance Storage']
['EFS Standard', 'EC2 Instance Storage']
['Elastic Block Store (EBS)', 'EC2 Instance Storage']
['Elastic Throughput Mode', 'EC2 Instance Storage']
['Encrypted Snapshots', 'EC2 Instance Storage']
['Encryption/Decryption Mechanism', 'EC2 Instance Storage']
['Ephemeral Storage', 'EC2 Instance Storage']
['Fast Snapshot Restore', 'EC2 Instance Storage']
['General Purpose Performance Mode', 'EC2 Instance Storage']
['General Purpose SSD (GP2/GP3)', 'EC2 Instance Storage']
['Hardware Disk', 'EC2 Instance Storage']
['I/O Performance', 'EC2 Instance Storage']
['IOPS (I/O Operations Per Second)', 'EC2 Instance Storage']
['Initialization', 'EC2 Instance Storage']
['KMS (Key Management Service)', 'EC2 Instance Storage']
